(env) thedead@maccos 01 - 1-wire % python3 1-wire.py wss://signals.holidayhackchallenge.com/wire/dq -t 20 -v 
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2611,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2621,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2627,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2691,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2751,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2761,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2821,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2831,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2891,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2901,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2961,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2971,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2977,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3041,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3047,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3111,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3171,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3181,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3241,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3251,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3311,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3321,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3327,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3391,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3451,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3461,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3521,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3531,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3537,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3601,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3607,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3671,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3731,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3741,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3801,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3811,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3871,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3881,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3941,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":3951,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4011,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4021,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4081,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4091,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4097,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4161,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4221,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4231,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4291,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4301,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4307,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4371,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4431,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4441,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4501,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4511,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4571,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4581,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4641,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4651,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4657,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4721,"v":0}
